BrokerSymbol,NSESymbol,Expiry,Type,Strike,Right
NIFTYFUTIDX(27Nov2014),NSENIFTY,20141127,FUT,0,XX
IDEAOPTSTK/150.00/24Dec2014(CE),IDEA,20141224,OPT,150,CALL
TCSOPTSTK/2200.00/24Apr2014(CE),TCS,20140424,OPT,2200,CALL
NIFTYFUTIDX(24Apr2014),NSENIFTY,20140424,FUT,0,XX
NIFTYOPTIDX/6700.00/24Apr2014(PE),NSENIFTY,20140424,OPT,6700,PUT
NIFTYOPTIDX/7300.00/29May2014(CE),NSENIFTY,20140529,OPT,7300,CALL
COALINDIAOPTSTK/350.00/27Nov2014(PE),COALINDIA,20141127,OPT,350,PUT
NIFTYOPTIDX/6000.00/29May2014(PE),NSENIFTY,20140529,OPT,6000,PUT
NIFTYOPTIDX/6800.00/29May2014(CE),NSENIFTY,20140529,OPT,6800,CALL
NIFTYOPTIDX/8000.00/30Oct2014(PE),NSENIFTY,20141030,OPT,8000,PUT
NIFTYFUTIDX(30Oct2014),NSENIFTY,20141030,FUT,0,XX
NIFTYOPTIDX/7500.00/31Jul2014(PE),NSENIFTY,20140731,OPT,7500,PUT
RELIANCEOPTSTK/1020.00/24Dec2014(CE),RELIANCE,20141224,OPT,1020,CALL
NIFTYFUTIDX(29Jan2015),NSENIFTY,20150129,FUT,0,XX
NIFTYFUTIDX(26Jun2014),NSENIFTY,20140626,FUT,0,XX
NIFTYOPTIDX/6800.00/29May2014(PE),NSENIFTY,20140529,OPT,6800,PUT
JUBLFOODFUTSTK(27Nov2014),JUBLFOOD,20141127,FUT,0,XX
NIFTYOPTIDX/8400.00/24Dec2014(CE),NSENIFTY,20141224,OPT,8400,CALL
TATAMTRDVROPTSTK/300.00/28Aug2014(CE),TATAMTRDVR,20140828,OPT,300,CALL
NIFTYOPTIDX/8500.00/24Dec2014(CE),NSENIFTY,20141224,OPT,8500,CALL
NIFTYOPTIDX/6800.00/24Apr2014(PE),NSENIFTY,20140424,OPT,6800,PUT
COALINDIAOPTSTK/350.00/30Oct2014(PE),COALINDIA,20141030,OPT,350,PUT
NIFTYOPTIDX/8600.00/24Dec2014(PE),NSENIFTY,20141224,OPT,8600,PUT
SBINOPTSTK/300.00/24Dec2014(PE),SBIN,20141224,OPT,300,PUT
NIFTYOPTIDX/7800.00/30Oct2014(PE),NSENIFTY,20141030,OPT,7800,PUT
NIFTYOPTIDX/8300.00/24Dec2014(PE),NSENIFTY,20141224,OPT,8300,PUT
NIFTYOPTIDX/8500.00/24Dec2014(PE),NSENIFTY,20141224,OPT,8500,PUT
NIFTYOPTIDX/8500.00/27Nov2014(PE),NSENIFTY,20141127,OPT,8500,PUT
NIFTYOPTIDX/7200.00/26Jun2014(PE),NSENIFTY,20140626,OPT,7200,PUT
NIFTYOPTIDX/7600.00/31Jul2014(CE),NSENIFTY,20140731,OPT,7600,CALL
RELIANCEOPTSTK/980.00/24Dec2014(CE),RELIANCE,20141224,OPT,980,CALL
NIFTYFUTIDX(25Sep2014),NSENIFTY,20140925,FUT,0,XX
NIFTYOPTIDX/6800.00/24Apr2014(CE),NSENIFTY,20140424,OPT,6800,CALL
RELIANCEOPTSTK/1000.00/24Dec2014(CE),RELIANCE,20141224,OPT,1000,CALL
NIFTYFUTIDX(23Apr2014),NSENIFTY,20140423,FUT,0,XX
NIFTYOPTIDX/8100.00/29Jan2015(PE),NSENIFTY,20150129,OPT,8100,PUT
NIFTYFUTIDX(24Dec2014),NSENIFTY,20141224,FUT,0,XX
INFYOPTSTK/3400.00/24Apr2014(CE),INFY,20140424,OPT,3400,CALL
NIFTYOPTIDX/7300.00/31Jul2014(PE),NSENIFTY,20140731,OPT,7300,PUT
NIFTYOPTIDX/7800.00/31Jul2014(CE),NSENIFTY,20140731,OPT,7800,CALL
TATAMTRDVROPTSTK/320.00/28Aug2014(CE),TATAMTRDVR,20140828,OPT,320,CALL
COALINDIAFUTSTK(27Nov2014),COALINDIA,20141127,FUT,0,XX
NIFTYFUTIDX(31Jul2014),NSENIFTY,20140731,FUT,0,XX
NIFTYOPTIDX/8000.00/25Sep2014(PE),NSENIFTY,20140925,OPT,8000,PUT
RELIANCEOPTSTK/960.00/24Dec2014(CE),RELIANCE,20141224,OPT,960,CALL
NIFTYOPTIDX/8600.00/24Dec2014(CE),NSENIFTY,20141224,OPT,8600,CALL
RELIANCEOPTSTK/940.00/24Dec2014(CE),RELIANCE,20141224,OPT,940,CALL
NIFTYOPTIDX/8000.00/24Dec2014(CE),NSENIFTY,20141224,OPT,8000,CALL
NIFTYFUTIDX(29May2014),NSENIFTY,20140529,FUT,0,XX
DLFOPTSTK/120.00/30Oct2014(CE),DLF,20141030,OPT,120,CALL
